month,total_orders,total_units,total_revenue,units_credits,units_memberships,units_intro_offers,rev_credits,rev_memberships,rev_intro_offers,total_renewals,avg_daily_renewals
2025-09,689,720,32713.829999999998,577,32,111,21156.18,5478.25,6079.4,88,2.9
2025-10,1092,1215,30537.149999999998,1153,15,47,25344.8,2621.6,2570.75,104,3.4
2025-11,985,1003,58476.39,860,45,98,44899.44,8039.95,5537.0,116,3.9
2025-12,580,605,30849.86,538,14,53,25380.66,2474.7,2994.5,122,3.9
2026-01,1279,1350,48906.74,1243,46,61,38613.57,6846.67,3446.5,147,4.7
2026-02,847,879,32556.74,809,35,35,25607.24,4972.0,1977.5,156,5.6
2026-03,980,1014,43855.08,897,71,46,31966.34,9298.210000000001,2590.53,182,5.9
2026-04,719,753,29139.09,688,25,40,22647.24,4231.85,2260.0,156,5.2
